,genus,species,filename
77,Calendulauda,africanoides,Calendulauda_africanoides_449420.mp3
78,Camaroptera,brachyura,Camaroptera_brachyura_453382.mp3
79,Camaroptera,brachyura,Camaroptera_brachyura_59744.mp3
80,Camaroptera,brachyura,Camaroptera_brachyura_721734.mp3
81,Camaroptera,brachyura,Camaroptera_brachyura_761326.mp3
82,Camaroptera,brevicaudata,Camaroptera_brevicaudata_524433.mp3
83,Campephaga,flava,Campephaga_flava_346938.mp3
84,Campethera,cailliautii,Campethera_cailliautii_346979.mp3
85,Campethera,cailliautii,Campethera_cailliautii_350087.mp3
86,Caprimulgus,pectoralis,Caprimulgus_pectoralis_651558.mp3
87,Caprimulgus,pectoralis,Caprimulgus_pectoralis_652455.mp3
88,Caprimulgus,pectoralis,Caprimulgus_pectoralis_705357.mp3
89,Caprimulgus,poliocephalus,Caprimulgus_poliocephalus_563702.mp3
90,Centropus,burchellii,Centropus_burchellii_761338.mp3
91,Centropus,grillii,Centropus_grillii_457592.mp3
92,Centropus,grillii,Centropus_grillii_710790.mp3
93,Cercococcyx,montanus,Cercococcyx_montanus_207012.mp3
94,Cercotrichas,quadrivirgata,Cercotrichas_quadrivirgata_346036.mp3
95,Cercotrichas,quadrivirgata,Cercotrichas_quadrivirgata_524408.mp3
96,Cercotrichas,signata,Cercotrichas_signata_201495.mp3
97,Cercotrichas,signata,Cercotrichas_signata_444704.mp3
98,Cercotrichas,signata,Cercotrichas_signata_511386.mp3
99,Cercotrichas,signata,Cercotrichas_signata_705358.mp3
100,Cercotrichas,signata,Cercotrichas_signata_761331.mp3
101,Ceuthmochares,australis,Ceuthmochares_australis_520132.mp3
102,Ceuthmochares,australis,Ceuthmochares_australis_610358.mp3
103,Chalcomitra,senegalensis,Chalcomitra_senegalensis_652450.mp3
104,Chalcomitra,senegalensis,Chalcomitra_senegalensis_708641.mp3
105,Chalcomitra,senegalensis,Chalcomitra_senegalensis_721748.mp3
106,Chamaetylas,fuelleborni,Chamaetylas_fuelleborni_185632.mp3
107,Chamaetylas,fuelleborni,Chamaetylas_fuelleborni_520125.mp3
108,Chamaetylas,fuelleborni,Chamaetylas_fuelleborni_774938.mp3
109,Chamaetylas,fuelleborni,Chamaetylas_fuelleborni_950742.mp3
110,Chlorocichla,flaviventris,Chlorocichla_flaviventris_430249.mp3
111,Chlorocichla,flaviventris,Chlorocichla_flaviventris_652425.mp3
112,Chlorophoneus,olivaceus,Chlorophoneus_olivaceus_104021.mp3
113,Chrysococcyx,caprius,Chrysococcyx_caprius_452899.mp3
114,Chrysococcyx,cupreus,Chrysococcyx_cupreus_524394.mp3
115,Chrysococcyx,cupreus,Chrysococcyx_cupreus_524395.mp3
116,Chrysococcyx,klaas,Chrysococcyx_klaas_448614.mp3
117,Cichladusa,arquata,Cichladusa_arquata_590261.mp3
118,Cinnyris,bifasciatus,Cinnyris_bifasciatus_520069.mp3
119,Cinnyris,bifasciatus,Cinnyris_bifasciatus_520072.mp3
120,Cinnyris,bifasciatus,Cinnyris_bifasciatus_941469.mp3
121,Circaetus,fasciolatus,Circaetus_fasciolatus_520535.mp3
122,Circaetus,fasciolatus,Circaetus_fasciolatus_520536.mp3
123,Cisticola,aberrans,Cisticola_aberrans_346562.mp3
124,Cisticola,aberrans,Cisticola_aberrans_346563.mp3
125,Cisticola,aberrans,Cisticola_aberrans_346564.mp3
126,Cisticola,chiniana,Cisticola_chiniana_100469.mp3
127,Cisticola,chiniana,Cisticola_chiniana_100470.mp3
128,Cisticola,chiniana,Cisticola_chiniana_444840.mp3
129,Cisticola,chiniana,Cisticola_chiniana_521828.mp3
130,Cisticola,chiniana,Cisticola_chiniana_696213.mp3
131,Cisticola,galactotes,Cisticola_galactotes_201332.mp3
132,Cisticola,galactotes,Cisticola_galactotes_452901.mp3
133,Cisticola,galactotes,Cisticola_galactotes_710853.mp3
134,Columba,delegorguei,Columba_delegorguei_207013.mp3
135,Coracias,spatulatus,Coracias_spatulatus_520228.mp3
136,Coracias,spatulatus,Coracias_spatulatus_521824.mp3
137,Corvus,albus,Corvus_albus_100521.mp3
138,Corvus,albus,Corvus_albus_100529.mp3
139,Corvus,splendens,Corvus_splendens_104058.mp3
140,Corvus,splendens,Corvus_splendens_519656.mp3
141,Corvus,splendens,Corvus_splendens_721755.mp3
142,Cossypha,humeralis,Cossypha_humeralis_400928.mp3
143,Cossypha,humeralis,Cossypha_humeralis_652429.mp3
144,Cossypha,natalensis,Cossypha_natalensis_346113.mp3
145,Cossypha,natalensis,Cossypha_natalensis_370805.mp3
146,Cossypha,natalensis,Cossypha_natalensis_761328.mp3
147,Crithagra,citrinipectus,Crithagra_citrinipectus_395991.mp3
148,Crithagra,citrinipectus,Crithagra_citrinipectus_395992.mp3
149,Crithagra,mozambica,Crithagra_mozambica_100536.mp3
150,Crithagra,sulphurata,Crithagra_sulphurata_31660.mp3
151,Cuculus,clamosus,Cuculus_clamosus_524431.mp3
152,Cuculus,solitarius,Cuculus_solitarius_524534.mp3
153,Cyanomitra,olivacea,Cyanomitra_olivacea_721728.mp3
154,Cyanomitra,olivacea,Cyanomitra_olivacea_761333.mp3
155,Cyanomitra,olivacea,Cyanomitra_olivacea_761335.mp3
156,Cyanomitra,veroxii,Cyanomitra_veroxii_201314.mp3
157,Dendropicos,fuscescens,Dendropicos_fuscescens_345955.mp3
158,Dicrurus,adsimilis,Dicrurus_adsimilis_541185.mp3
159,Dicrurus,ludwigii,Dicrurus_ludwigii_104059.mp3
160,Dicrurus,ludwigii,Dicrurus_ludwigii_104060.mp3
161,Dicrurus,ludwigii,Dicrurus_ludwigii_59747.mp3
162,Dicrurus,ludwigii,Dicrurus_ludwigii_59748.mp3
163,Dicrurus,ludwigii,Dicrurus_ludwigii_59749.mp3
164,Dicrurus,ludwigii,Dicrurus_ludwigii_652469.mp3
165,Dryoscopus,cubla,Dryoscopus_cubla_524432.mp3
166,Dryoscopus,cubla,Dryoscopus_cubla_59745.mp3
167,Emberiza,flaviventris,Emberiza_flaviventris_521819.mp3
168,Eremomela,scotops,Eremomela_scotops_652462.mp3
169,Erythrocercus,livingstonei,Erythrocercus_livingstonei_346558.mp3
170,Erythrocercus,livingstonei,Erythrocercus_livingstonei_346559.mp3
171,Erythrocercus,livingstonei,Erythrocercus_livingstonei_346560.mp3
172,Estrilda,astrild,Estrilda_astrild_104057.mp3
173,Euplectes,orix,Euplectes_orix_100532.mp3
174,Euplectes,orix,Euplectes_orix_100533.mp3
175,Euplectes,orix,Euplectes_orix_453373.mp3
176,Eurystomus,glaucurus,Eurystomus_glaucurus_524396.mp3
177,Falco,cuvierii,Falco_cuvierii_688814.mp3
178,Falco,fasciinucha,Falco_fasciinucha_346110.mp3
179,Falco,fasciinucha,Falco_fasciinucha_346111.mp3
180,Gallinago,nigripennis,Gallinago_nigripennis_415839.mp3
181,Gallinago,nigripennis,Gallinago_nigripennis_701493.mp3
182,Gallirex,porphyreolophus,Gallirex_porphyreolophus_761330.mp3
183,Gallirex,porphyreolophus,Gallirex_porphyreolophus_761336.mp3
184,Guttera,pucherani,Guttera_pucherani_652467.mp3
185,Halcyon,chelicuti,Halcyon_chelicuti_400926.mp3
186,Halcyon,chelicuti,Halcyon_chelicuti_652459.mp3
187,Halcyon,senegaloides,Halcyon_senegaloides_216425.mp3
188,Halcyon,senegaloides,Halcyon_senegaloides_520469.mp3
189,Halcyon,senegaloides,Halcyon_senegaloides_520470.mp3
190,Halcyon,senegaloides,Halcyon_senegaloides_520471.mp3
191,Haliaeetus,vocifer,Haliaeetus_vocifer_616044.mp3
192,Haliaeetus,vocifer,Haliaeetus_vocifer_616079.mp3
193,Haliaeetus,vocifer,Haliaeetus_vocifer_646324.mp3
194,Haliaeetus,vocifer,Haliaeetus_vocifer_646327.mp3
195,Hedydipna,collaris,Hedydipna_collaris_652464.mp3
196,Hedydipna,collaris,Hedydipna_collaris_705003.mp3
197,Hyliota,australis,Hyliota_australis_256466.mp3
198,Iduna,natalensis,Iduna_natalensis_216211.mp3
199,Indicator,indicator,Indicator_indicator_473981.mp3
200,Indicator,indicator,Indicator_indicator_524529.mp3
201,Indicator,indicator,Indicator_indicator_524530.mp3
202,Ixobrychus,minutus,Ixobrychus_minutus_399254.mp3
203,Laniarius,major,Laniarius_major_100519.mp3
204,Laniarius,major,Laniarius_major_100520.mp3
205,Lophoceros,alboterminatus,Lophoceros_alboterminatus_541188.mp3
206,Macronyx,ameliae,Macronyx_ameliae_316658.mp3
207,Macronyx,ameliae,Macronyx_ameliae_316661.mp3
208,Macronyx,croceus,Macronyx_croceus_452897.mp3
209,Macronyx,croceus,Macronyx_croceus_452898.mp3
210,Macronyx,croceus,Macronyx_croceus_453958.mp3
211,Macrosphenus,kretschmeri,Macrosphenus_kretschmeri_381697.mp3
212,Melocichla,mentalis,Melocichla_mentalis_312037.mp3
213,Melocichla,mentalis,Melocichla_mentalis_520227.mp3
214,Melocichla,mentalis,Melocichla_mentalis_520472.mp3
215,Merops,boehmi,Merops_boehmi_950735.mp3
216,Merops,persicus,Merops_persicus_100466.mp3
217,Merops,superciliosus,Merops_superciliosus_201464.mp3
218,Mirafra,africana,Mirafra_africana_346035.mp3
219,Mirafra,rufocinnamomea,Mirafra_rufocinnamomea_519653.mp3
220,Motacilla,aguimp,Motacilla_aguimp_100472.mp3
221,Motacilla,aguimp,Motacilla_aguimp_100518.mp3
222,Muscicapa,adusta,Muscicapa_adusta_59743.mp3
223,Muscicapa,caerulescens,Muscicapa_caerulescens_345339.mp3
224,Muscicapa,caerulescens,Muscicapa_caerulescens_696348.mp3
225,Mystery,mystery,Mystery_mystery_296616.mp3
226,Mystery,mystery,Mystery_mystery_452910.mp3
227,Mystery,mystery,Mystery_mystery_453375.mp3
228,Mystery,mystery,Mystery_mystery_453377.mp3
229,Mystery,mystery,Mystery_mystery_453378.mp3
230,Mystery,mystery,Mystery_mystery_456528.mp3
231,Mystery,mystery,Mystery_mystery_652992.mp3
232,Mystery,mystery,Mystery_mystery_696347.mp3
233,Mystery,mystery,Mystery_mystery_696625.mp3
234,Mystery,mystery,Mystery_mystery_696788.mp3
235,Mystery,mystery,Mystery_mystery_696791.mp3
236,Mystery,mystery,Mystery_mystery_696792.mp3
237,Mystery,mystery,Mystery_mystery_697504.mp3
238,Mystery,mystery,Mystery_mystery_697856.mp3
239,Mystery,mystery,Mystery_mystery_697857.mp3
240,Mystery,mystery,Mystery_mystery_697858.mp3
241,Mystery,mystery,Mystery_mystery_723790.mp3
242,Mystery,mystery,Mystery_mystery_741112.mp3
243,Mystery,mystery,Mystery_mystery_741113.mp3
244,Mystery,mystery,Mystery_mystery_757704.mp3
245,Mystery,mystery,Mystery_mystery_792960.mp3
246,Mystery,mystery,Mystery_mystery_884377.mp3
247,Neafrapus,boehmi,Neafrapus_boehmi_688818.mp3
248,Nicator,gularis,Nicator_gularis_185644.mp3
249,Nicator,gularis,Nicator_gularis_520532.mp3
250,Nicator,gularis,Nicator_gularis_652445.mp3
251,Notopholia,corusca,Notopholia_corusca_444708.mp3
252,Notopholia,corusca,Notopholia_corusca_761337.mp3
253,Numenius,phaeopus,Numenius_phaeopus_308217.mp3
254,Numenius,phaeopus,Numenius_phaeopus_308218.mp3
255,Numenius,phaeopus,Numenius_phaeopus_334801.mp3
256,Numenius,phaeopus,Numenius_phaeopus_334803.mp3
257,Numenius,phaeopus,Numenius_phaeopus_385131.mp3
258,Numenius,phaeopus,Numenius_phaeopus_386790.mp3
259,Numenius,phaeopus,Numenius_phaeopus_386969.mp3
260,Numenius,phaeopus,Numenius_phaeopus_941470.mp3
261,Oriolus,chlorocephalus,Oriolus_chlorocephalus_301910.mp3
262,Oriolus,larvatus,Oriolus_larvatus_540578.mp3
263,Ortygornis,sephaena,Ortygornis_sephaena_185643.mp3
264,Ortygornis,sephaena,Ortygornis_sephaena_304235.mp3
265,Ortygospiza,atricollis,Ortygospiza_atricollis_316699.mp3
266,Paragallinula,angulata,Paragallinula_angulata_403523.mp3
267,Paragallinula,angulata,Paragallinula_angulata_407075.mp3
268,Passer,diffusus,Passer_diffusus_540577.mp3
269,Passer,domesticus,Passer_domesticus_100530.mp3
270,Passer,domesticus,Passer_domesticus_100531.mp3
271,Passer,domesticus,Passer_domesticus_947753.mp3
272,Phedina,borbonica,Phedina_borbonica_475668.mp3
273,Phyllastrephus,cerviniventris,Phyllastrephus_cerviniventris_346112.mp3
274,Phyllastrephus,debilis,Phyllastrephus_debilis_256487.mp3
275,Phyllastrephus,debilis,Phyllastrephus_debilis_430248.mp3
276,Phyllastrephus,debilis,Phyllastrephus_debilis_520537.mp3
277,Phyllastrephus,debilis,Phyllastrephus_debilis_520538.mp3
278,Phyllastrephus,debilis,Phyllastrephus_debilis_520539.mp3
279,Phyllastrephus,terrestris,Phyllastrephus_terrestris_104014.mp3
280,Phyllastrephus,terrestris,Phyllastrephus_terrestris_104016.mp3
281,Phyllastrephus,terrestris,Phyllastrephus_terrestris_59752.mp3
282,Pitta,angolensis,Pitta_angolensis_189925.mp3
283,Pitta,angolensis,Pitta_angolensis_520080.mp3
284,Platysteira,peltata,Platysteira_peltata_652457.mp3
285,Ploceus,olivaceiceps,Ploceus_olivaceiceps_950707.mp3
286,Ploceus,velatus,Ploceus_velatus_451700.mp3
287,Ploceus,xanthopterus,Ploceus_xanthopterus_399256.mp3
288,Pogoniulus,bilineatus,Pogoniulus_bilineatus_31658.mp3
289,Pogoniulus,bilineatus,Pogoniulus_bilineatus_941414.mp3
290,Pogoniulus,simplex,Pogoniulus_simplex_185982.mp3
291,Pogoniulus,simplex,Pogoniulus_simplex_185984.mp3
292,Pogoniulus,simplex,Pogoniulus_simplex_303340.mp3
293,Poicephalus,cryptoxanthus,Poicephalus_cryptoxanthus_103956.mp3
294,Prinia,erythroptera,Prinia_erythroptera_540575.mp3
295,Prinia,subflava,Prinia_subflava_444823.mp3
296,Prinia,subflava,Prinia_subflava_704993.mp3
297,Pseudhirundo,griseopyga,Pseudhirundo_griseopyga_59740.mp3
298,Pternistis,afer,Pternistis_afer_346596.mp3
299,Pternistis,afer,Pternistis_afer_59746.mp3
300,Pternistis,hildebrandti,Pternistis_hildebrandti_347179.mp3
301,Pycnonotus,barbatus,Pycnonotus_barbatus_941471.mp3
302,Pycnonotus,tricolor,Pycnonotus_tricolor_523234.mp3
303,Pycnonotus,tricolor,Pycnonotus_tricolor_523243.mp3
304,Pycnonotus,tricolor,Pycnonotus_tricolor_524525.mp3
305,Pycnonotus,tricolor,Pycnonotus_tricolor_524526.mp3
306,Pycnonotus,tricolor,Pycnonotus_tricolor_721751.mp3
307,Pycnonotus,tricolor,Pycnonotus_tricolor_940675.mp3
308,Quelea,erythrops,Quelea_erythrops_391097.mp3
309,Quelea,erythrops,Quelea_erythrops_391200.mp3
310,Rallus,caerulescens,Rallus_caerulescens_399267.mp3
311,Rhinopomastus,cyanomelas,Rhinopomastus_cyanomelas_652461.mp3
312,Sarothrura,elegans,Sarothrura_elegans_345949.mp3
313,Sarothrura,rufa,Sarothrura_rufa_454045.mp3
314,Saxicola,torquatus,Saxicola_torquatus_345338.mp3
315,Sheppardia,gunningi,Sheppardia_gunningi_184019.mp3
316,Sheppardia,gunningi,Sheppardia_gunningi_520120.mp3
317,Sheppardia,gunningi,Sheppardia_gunningi_72936.mp3
318,Smithornis,capensis,Smithornis_capensis_184021.mp3
319,Smithornis,capensis,Smithornis_capensis_201484.mp3
320,Smithornis,capensis,Smithornis_capensis_436634.mp3
321,Sternula,saundersi,Sternula_saundersi_649458.mp3
322,Streptopelia,capicola,Streptopelia_capicola_445134.mp3
323,Streptopelia,capicola,Streptopelia_capicola_941489.mp3
324,Streptopelia,semitorquata,Streptopelia_semitorquata_100464.mp3
325,Streptopelia,semitorquata,Streptopelia_semitorquata_100465.mp3
326,Strix,woodfordii,Strix_woodfordii_256486.mp3
327,Strix,woodfordii,Strix_woodfordii_301911.mp3
328,Strix,woodfordii,Strix_woodfordii_651901.mp3
329,Strix,woodfordii,Strix_woodfordii_651902.mp3
330,Strix,woodfordii,Strix_woodfordii_696776.mp3
331,Sylvia,abyssinica,Sylvia_abyssinica_345336.mp3
332,Sylvia,abyssinica,Sylvia_abyssinica_345337.mp3
333,Sylvietta,whytii,Sylvietta_whytii_346854.mp3
334,Sylvietta,whytii,Sylvietta_whytii_494651.mp3
335,Sylvietta,whytii,Sylvietta_whytii_520534.mp3
336,Tchagra,senegalus,Tchagra_senegalus_100471.mp3
337,Tchagra,senegalus,Tchagra_senegalus_31661.mp3
338,Tchagra,senegalus,Tchagra_senegalus_347144.mp3
339,Telophorus,viridis,Telophorus_viridis_578868.mp3
340,Telophorus,viridis,Telophorus_viridis_59750.mp3
341,Telophorus,viridis,Telophorus_viridis_652447.mp3
342,Terpsiphone,viridis,Terpsiphone_viridis_615986.mp3
343,Treron,calvus,Treron_calvus_104019.mp3
344,Trochocercus,cyanomelas,Trochocercus_cyanomelas_201448.mp3
345,Turdoides,jardineii,Turdoides_jardineii_346037.mp3
346,Turdus,libonyana,Turdus_libonyana_444789.mp3
347,Turdus,libonyana,Turdus_libonyana_646388.mp3
348,Turdus,libonyana,Turdus_libonyana_704996.mp3
349,Turdus,libonyana,Turdus_libonyana_704997.mp3
350,Turtur,chalcospilos,Turtur_chalcospilos_941406.mp3
351,Turtur,tympanistria,Turtur_tympanistria_524535.mp3
352,Upupa,africana,Upupa_africana_59751.mp3
353,Upupa,africana,Upupa_africana_646329.mp3
354,Upupa,africana,Upupa_africana_646330.mp3
355,Uraeginthus,angolensis,Uraeginthus_angolensis_100534.mp3
356,Urocolius,indicus,Urocolius_indicus_701253.mp3
357,Vanellus,lugubris,Vanellus_lugubris_394493.mp3
358,Vanellus,lugubris,Vanellus_lugubris_411262.mp3
359,Vidua,funerea,Vidua_funerea_449457.mp3
360,Zapornia,flavirostra,Zapornia_flavirostra_453374.mp3
361,Zapornia,flavirostra,Zapornia_flavirostra_713095.mp3
362,Zapornia,pusilla,Zapornia_pusilla_708425.mp3
363,Zapornia,pusilla,Zapornia_pusilla_708429.mp3
364,Zosterops,anderssoni,Zosterops_anderssoni_104017.mp3
