,path,offset_s,sr,gt,site,entropy,complexity
46,/home/a.jajodia.229/acoustic/local_data/coral/Williams_et_al_2024/French_Polynesia/Unknown/SiteADay1.805322778.210204031552.wav,0,48000,"[0, 0, 1]",French_Polynesia,0.9313567145807797,0.1538960678767757
47,/home/a.jajodia.229/acoustic/local_data/coral/Lin_et_al_2021/Site_B/201705/SSK_Site_B_20170528_031000.wav,0,44100,"[0, 1, 0]",Site_B,0.9029472846956528,0.18937986050367628
48,/home/a.jajodia.229/acoustic/local_data/coral/Lin_et_al_2021/Site_B/201705/SSK_Site_B_20170527_235500.wav,0,44100,"[0, 1, 0]",Site_B,0.8980299376301518,0.19506708819440743
49,/home/a.jajodia.229/acoustic/local_data/coral/Williams_et_al_2024/Australia/Unknown/SiteAdeployment1.805322778.181023234726.wav,0,48000,"[0, 0, 1]",Australia,0.9458934301643037,0.12953494419462955
50,/home/a.jajodia.229/acoustic/local_data/coral/Williams_et_al_2024/French_Polynesia/Unknown/SiteADay1.805322778.210204024551.wav,0,48000,"[0, 0, 1]",French_Polynesia,0.9094193949565421,0.18464754395373745
51,/home/a.jajodia.229/acoustic/local_data/coral/Williams_et_al_2024/Australia/Unknown/SiteAdeployment1.805322778.181024051718.wav,0,48000,"[0, 0, 1]",Australia,0.9476702313873341,0.1251510500368929
52,/home/a.jajodia.229/acoustic/local_data/coral/Williams_et_al_2024/French_Polynesia/Unknown/SiteADay1.805322778.210203160545.wav,0,48000,"[0, 0, 1]",French_Polynesia,0.9559919579001296,0.10387086944611179
53,/home/a.jajodia.229/acoustic/local_data/coral/Lin_et_al_2021/Site_C/201705/SSK_Site_C_20170525_133500.wav,0,44100,"[0, 1, 0]",Site_C,0.6701960390360067,0.3363677407875914
54,/home/a.jajodia.229/acoustic/local_data/coral/Lin_et_al_2021/Site_C/201706/SSK_Site_C_20170618_211500.wav,0,44100,"[0, 1, 0]",Site_C,0.4911360242900943,0.3626564218555658
55,/home/a.jajodia.229/acoustic/local_data/coral/Williams_et_al_2024/Indonesia/Unknown/SaF4.0533R.1677983769.180830.NT0610.wav,0,48000,"[0, 0, 1]",Indonesia,0.9466586218228085,0.12786531955011354
56,/home/a.jajodia.229/acoustic/local_data/coral/Lin_et_al_2021/Site_B/201705/SSK_Site_B_20170527_162500.wav,0,44100,"[0, 1, 0]",Site_B,0.8593579491105627,0.22169930414158218
57,/home/a.jajodia.229/acoustic/local_data/coral/Lin_et_al_2021/Site_B/201705/SSK_Site_B_20170528_034000.wav,0,44100,"[0, 1, 0]",Site_B,0.8999214563422293,0.19122971626534094
58,/home/a.jajodia.229/acoustic/local_data/coral/Lin_et_al_2021/Site_A/201706/SSK_Site_A_20170622_154500.wav,0,44100,"[0, 1, 0]",Site_A,0.8994409611124305,0.21375663453696528
59,/home/a.jajodia.229/acoustic/local_data/coral/Williams_et_al_2024/Indonesia/Unknown/SaF2.1203R.671907872.180828.NT1236.wav,0,48000,"[0, 0, 1]",Indonesia,0.9539265180667671,0.10607932383882711
60,/home/a.jajodia.229/acoustic/local_data/coral/Lin_et_al_2021/Site_C/201705/SSK_Site_C_20170520_055500.wav,0,44100,"[0, 1, 0]",Site_C,0.7750858004736756,0.260875997650265
61,/home/a.jajodia.229/acoustic/local_data/coral/Williams_et_al_2024/French_Polynesia/Unknown/SiteADay1.805322778.210203210048.wav,0,48000,"[0, 0, 1]",French_Polynesia,0.8571052990105551,0.18893194307145178
62,/home/a.jajodia.229/acoustic/local_data/coral/Lin_et_al_2021/Site_A/201706/SSK_Site_A_20170619_025500.wav,0,44100,"[0, 1, 0]",Site_A,0.8907881841750588,0.22597284442716178
63,/home/a.jajodia.229/acoustic/local_data/coral/Lin_et_al_2021/Site_C/201705/SSK_Site_C_20170522_001000.wav,0,44100,"[0, 1, 0]",Site_C,0.7633940386973564,0.29201041953363593
64,/home/a.jajodia.229/acoustic/local_data/coral/Paola/A_ND/June2025/20250619_175418.WAV,0,48000,"[0, 1, 0]",A_ND,0.8435575154367752,0.22584837760647986
65,/home/a.jajodia.229/acoustic/local_data/coral/Lin_et_al_2021/Site_B/201706/SSK_Site_B_20170602_030500.wav,0,44100,"[0, 1, 0]",Site_B,0.864197127479406,0.22258465704367314
66,/home/a.jajodia.229/acoustic/local_data/coral/Lin_et_al_2021/Site_C/201705/SSK_Site_C_20170517_195500.wav,0,44100,"[0, 1, 0]",Site_C,0.7317676239054487,0.30540462146032393
67,/home/a.jajodia.229/acoustic/local_data/coral/Williams_et_al_2024/Australia/Unknown/SiteAdeployment1.805322778.181023183733.wav,0,48000,"[0, 0, 1]",Australia,0.958573483569924,0.1018768483540119
68,/home/a.jajodia.229/acoustic/local_data/coral/Williams_et_al_2024/Indonesia/Unknown/BoF5.0532H.1677983769.180831.NT0559.wav,0,48000,"[0, 0, 1]",Indonesia,0.9485582096357414,0.12342702202043476
69,/home/a.jajodia.229/acoustic/local_data/coral/Williams_et_al_2024/Indonesia/Unknown/BoN10.1731R.1677983769.180905.NT1733.wav,0,48000,"[0, 0, 1]",Indonesia,0.9576632199211867,0.10031827560440629
70,/home/a.jajodia.229/acoustic/local_data/coral/Williams_et_al_2024/French_Polynesia/Unknown/SiteADay1.805322778.210203191547.wav,0,48000,"[0, 0, 1]",French_Polynesia,0.943853730681867,0.1305432345469488
71,/home/a.jajodia.229/acoustic/local_data/coral/Lin_et_al_2021/Site_C/201706/SSK_Site_C_20170618_223000.wav,0,44100,"[0, 1, 0]",Site_C,0.45476622339599443,0.36597378297479066
72,/home/a.jajodia.229/acoustic/local_data/coral/Paola/A_ND/June2025/20250626_104519.WAV,0,48000,"[0, 1, 0]",A_ND,0.9226197333041809,0.163182484629076
73,/home/a.jajodia.229/acoustic/local_data/coral/Lin_et_al_2021/Site_A/201706/SSK_Site_A_20170622_163000.wav,0,44100,"[0, 1, 0]",Site_A,0.797700820742493,0.2806816461578304
74,/home/a.jajodia.229/acoustic/local_data/coral/Williams_et_al_2024/Australia/Unknown/SiteAdeployment1.805322778.181023153733.wav,0,48000,"[0, 0, 1]",Australia,0.9414054797808534,0.13465160521490088
75,/home/a.jajodia.229/acoustic/local_data/coral/Lin_et_al_2021/Site_C/201705/SSK_Site_C_20170523_203500.wav,0,44100,"[0, 1, 0]",Site_C,0.5928285641943458,0.3503856005743203
76,/home/a.jajodia.229/acoustic/local_data/coral/Lin_et_al_2021/Site_C/201705/SSK_Site_C_20170523_202500.wav,0,44100,"[0, 1, 0]",Site_C,0.5813401033873387,0.35552283870055834
77,/home/a.jajodia.229/acoustic/local_data/coral/Williams_et_al_2024/Australia/Unknown/SiteAdeployment2.1678278701.181030221242.wav,0,48000,"[0, 0, 1]",Australia,0.9374985461510327,0.143744621332953
78,/home/a.jajodia.229/acoustic/local_data/coral/Williams_et_al_2024/French_Polynesia/Unknown/SiteADay1.805322778.210204060053.wav,0,48000,"[0, 0, 1]",French_Polynesia,0.9372699536192964,0.14787832343852375
79,/home/a.jajodia.229/acoustic/local_data/coral/Paola/A_ND/June2025/20250619_133818.WAV,0,48000,"[0, 1, 0]",A_ND,0.9317443582329745,0.1521411158521221
80,/home/a.jajodia.229/acoustic/local_data/coral/Paola/A_D/May 2025/20250321_173705.WAV,0,48000,"[0, 1, 0]",A_D,0.9322353256756726,0.13087456215557938
81,/home/a.jajodia.229/acoustic/local_data/coral/Lin_et_al_2021/Site_C/201705/SSK_Site_C_20170522_005500.wav,0,44100,"[0, 1, 0]",Site_C,0.8047318830309911,0.2680439134423646
82,/home/a.jajodia.229/acoustic/local_data/coral/Williams_et_al_2024/Australia/Unknown/SiteAdeployment1.805322778.181023182733.wav,0,48000,"[0, 0, 1]",Australia,0.9172469244748049,0.17539193764050964
83,/home/a.jajodia.229/acoustic/local_data/coral/Paola/A_ND/June2025/20250628_112733.WAV,0,48000,"[0, 1, 0]",A_ND,0.932858432092635,0.1422489770054169
84,/home/a.jajodia.229/acoustic/local_data/coral/Williams_et_al_2024/French_Polynesia/Unknown/SiteADay1.805322778.210204000550.wav,0,48000,"[0, 0, 1]",French_Polynesia,0.9508456008542998,0.11549752695169761
85,/home/a.jajodia.229/acoustic/local_data/coral/Williams_et_al_2024/Indonesia/Unknown/BoN10.2359H.1678278701.180905.NT0054.wav,0,48000,"[0, 0, 1]",Indonesia,0.9411976142068023,0.13975346708825087
86,/home/a.jajodia.229/acoustic/local_data/coral/Lin_et_al_2021/Site_B/201706/SSK_Site_B_20170605_195500.wav,0,44100,"[0, 1, 0]",Site_B,0.49588361619289295,0.3631345318734068
87,/home/a.jajodia.229/acoustic/local_data/coral/Paola/A_D/May 2025/20250319_073500.WAV,0,48000,"[0, 1, 0]",A_D,0.9388601239931538,0.12925554505446565
88,/home/a.jajodia.229/acoustic/local_data/coral/Lin_et_al_2021/Site_C/201705/SSK_Site_C_20170525_131500.wav,0,44100,"[0, 1, 0]",Site_C,0.43706005821056865,0.33823351269120444
89,/home/a.jajodia.229/acoustic/local_data/coral/Williams_et_al_2024/Australia/Unknown/SiteAdeployment1.805322778.181023155733.wav,0,48000,"[0, 0, 1]",Australia,0.9409342281407869,0.1352190537840468
90,/home/a.jajodia.229/acoustic/local_data/coral/Lin_et_al_2021/Site_C/201705/SSK_Site_C_20170518_154000.wav,0,44100,"[0, 1, 0]",Site_C,0.8203749715099616,0.262993065727222
91,/home/a.jajodia.229/acoustic/local_data/coral/Williams_et_al_2024/Indonesia/Unknown/BaN12.0529H.805322778.180907.NT0537.wav,0,48000,"[0, 0, 1]",Indonesia,0.8828965975987753,0.24149649208360555
92,/home/a.jajodia.229/acoustic/local_data/coral/Lin_et_al_2021/Site_B/201705/SSK_Site_B_20170528_010500.wav,0,44100,"[0, 1, 0]",Site_B,0.9061903672128683,0.1866172350838073
93,/home/a.jajodia.229/acoustic/local_data/coral/Williams_et_al_2024/Indonesia/Unknown/BoN12.1220H.805322778.180907.NT1241.wav,0,48000,"[0, 0, 1]",Indonesia,0.9498114483824729,0.11710127995561606
94,/home/a.jajodia.229/acoustic/local_data/coral/Williams_et_al_2024/French_Polynesia/Unknown/SiteADay1.805322778.210204040052.wav,0,48000,"[0, 0, 1]",French_Polynesia,0.9471875666413276,0.12921775506831987
95,/home/a.jajodia.229/acoustic/local_data/coral/Lin_et_al_2021/Site_C/201705/SSK_Site_C_20170517_235500.wav,0,44100,"[0, 1, 0]",Site_C,0.7683242844232254,0.2927130848230136
96,/home/a.jajodia.229/acoustic/local_data/coral/Williams_et_al_2024/French_Polynesia/Unknown/SiteADay1.805322778.210204052053.wav,0,48000,"[0, 0, 1]",French_Polynesia,0.9284559030858754,0.15778710260780873
97,/home/a.jajodia.229/acoustic/local_data/coral/Williams_et_al_2024/French_Polynesia/Unknown/SiteADay1.805322778.210204041052.wav,0,48000,"[0, 0, 1]",French_Polynesia,0.94601577343406,0.12597804964756543
98,/home/a.jajodia.229/acoustic/local_data/coral/Paola/A_D/May 2025/20250316_193900.WAV,0,48000,"[0, 1, 0]",A_D,0.9229423669254707,0.14447727597636656
99,/home/a.jajodia.229/acoustic/local_data/coral/Paola/A_ND/June2025/20250626_095521.WAV,0,48000,"[0, 1, 0]",A_ND,0.9149740061598711,0.17060077858563163
